"","cigID","regulatory.rel","distributive.rel"
"1","EU0001",0.25,0.75
"2","EU0002",1,0
"3","EU0003",0.666666666666667,0.333333333333333
"4","EU0004",0.6,0.4
"5","EU0005",NA,NA
"6","EU0006",0,1
"7","EU0007",0.625,0.375
"8","EU0008",NA,NA
"9","EU0009",1,0
"10","EU0010",0.5,0.5
"11","EU0011",0.75,0.25
"12","EU0012",0.5,0.5
"13","EU0013",0.8,0.2
"14","EU0014",NA,NA
"15","EU0015",0.777777777777778,0.222222222222222
"16","EU0016",0.666666666666667,0.333333333333333
"17","EU0017",0,1
"18","EU0018",NA,NA
"19","EU0019",1,0
"20","EU0020",NA,NA
"21","EU0021",NA,NA
"22","EU0022",NA,NA
"23","EU0023",1,0
"24","EU0024",0,1
"25","EU0025",NA,NA
"26","EU0026",NA,NA
"27","EU0027",NA,NA
"28","EU0028",0.5,0.5
"29","EU0029",0.333333333333333,0.666666666666667
"30","EU0030",0.5,0.5
"31","EU0031",NA,NA
"32","EU0032",1,0
"33","EU0033",0.666666666666667,0.333333333333333
"34","EU0034",0.555555555555556,0.444444444444444
"35","EU0035",NA,NA
"36","EU0036",NA,NA
"37","EU0037",NA,NA
"38","EU0038",NA,NA
"39","EU0039",NA,NA
"40","EU0040",NA,NA
"41","EU0041",0.5,0.5
"42","EU0042",0.333333333333333,0.666666666666667
"43","EU0043",NA,NA
"44","EU0044",0.6,0.4
"45","EU0045",0.333333333333333,0.666666666666667
"46","EU0046",1,0
"47","EU0047",0.333333333333333,0.666666666666667
"48","EU0048",NA,NA
"49","EU0049",1,0
"50","EU0050",0.5,0.5
"51","EU0051",NA,NA
"52","EU0052",0.666666666666667,0.333333333333333
"53","EU0053",0.75,0.25
"54","EU0054",1,0
"55","EU0055",0.333333333333333,0.666666666666667
"56","EU0056",1,0
"57","EU0057",NA,NA
"58","EU0058",NA,NA
"59","EU0059",0.428571428571429,0.571428571428571
"60","EU0060",1,0
"61","EU0061",0.5,0.5
"62","EU0062",0.5,0.5
"63","EU0063",0.666666666666667,0.333333333333333
"64","EU0064",0.5,0.5
"65","EU0065",NA,NA
"66","EU0066",1,0
"67","EU0067",NA,NA
"68","EU0068",0.5,0.5
"69","EU0069",1,0
"70","EU0070",0.666666666666667,0.333333333333333
"71","EU0071",0,1
"72","EU0072",0.571428571428571,0.428571428571429
"73","EU0073",1,0
"74","EU0074",0.333333333333333,0.666666666666667
"75","EU0075",1,0
"76","EU0076",0.333333333333333,0.666666666666667
"77","EU0077",0.333333333333333,0.666666666666667
"78","EU0078",NA,NA
"79","EU0079",0,1
"80","EU0080",0.75,0.25
"81","EU0081",0.333333333333333,0.666666666666667
"82","EU0082",0.75,0.25
"83","EU0083",0.4,0.6
"84","EU0084",1,0
"85","EU0085",NA,NA
"86","EU0086",0.5,0.5
"87","EU0087",NA,NA
"88","EU0088",1,0
"89","EU0089",1,0
"90","EU0090",0,1
"91","EU0091",0.5,0.5
"92","EU0092",0,1
"93","EU0093",1,0
"94","EU0094",0.5,0.5
"95","EU0095",0.333333333333333,0.666666666666667
"96","EU0096",1,0
"97","EU0097",1,0
"98","EU0098",NA,NA
"99","EU0099",NA,NA
"100","EU0100",0,1
"101","EU0101",0.5,0.5
"102","EU0102",NA,NA
"103","EU0103",0.4,0.6
"104","EU0104",1,0
"105","EU0105",0.25,0.75
"106","EU0106",1,0
"107","EU0107",NA,NA
"108","EU0108",0.5,0.5
"109","EU0109",0.5,0.5
"110","EU0110",0.333333333333333,0.666666666666667
"111","EU0111",0,1
"112","EU0112",0.5,0.5
"113","EU0113",0.5,0.5
"114","EU0114",0.8,0.2
"115","EU0115",0.4,0.6
"116","EU0116",1,0
"117","EU0117",1,0
"118","EU0118",NA,NA
"119","EU0119",0.666666666666667,0.333333333333333
"120","EU0120",NA,NA
"121","EU0121",1,0
"122","EU0122",0.5,0.5
"123","EU0123",0,1
"124","EU0124",0.6,0.4
"125","EU0125",0.666666666666667,0.333333333333333
"126","EU0126",NA,NA
"127","EU0127",0.625,0.375
"128","EU0128",0.666666666666667,0.333333333333333
"129","EU0129",0.5,0.5
"130","EU0130",NA,NA
"131","EU0131",0.636363636363636,0.363636363636364
"132","EU0132",NA,NA
"133","EU0133",0.666666666666667,0.333333333333333
"134","EU0134",0,1
"135","EU0135",0.5,0.5
"136","EU0136",NA,NA
"137","EU0137",0,1
"138","EU0138",0.666666666666667,0.333333333333333
"139","EU0139",NA,NA
"140","EU0140",NA,NA
"141","EU0141",0,1
"142","EU0142",1,0
"143","EU0143",0.333333333333333,0.666666666666667
"144","EU0144",0.75,0.25
"145","EU0145",NA,NA
"146","EU0146",0,1
"147","EU0147",0.666666666666667,0.333333333333333
"148","EU0148",0.5,0.5
"149","EU0149",0.4,0.6
"150","EU0150",0.75,0.25
"151","EU0151",0.5,0.5
"152","EU0152",0.5,0.5
"153","EU0153",0.5,0.5
"154","EU0154",0.333333333333333,0.666666666666667
"155","EU0155",0.5,0.5
"156","EU0156",0.7,0.3
"157","EU0157",0.5,0.5
"158","EU0158",NA,NA
"159","EU0159",0.5,0.5
"160","EU0160",0.571428571428571,0.428571428571429
