"","X","cigID","il","ol","il1","ol1","admin.decision","strat.decision","technical.information","pol.impact.information","regulatory","distributive","rev.doors","grouptype","staff","q39_01","q39_02"
"1",1,"EU0001",3.33333333333333,2.14285714285714,2.33333333333333,1.14285714285714,NA,0,4,3,3,3,1,"Trade Association",66,NA,NA
"2",2,"EU0002",1.66666666666667,2.57142857142857,0.666666666666667,1.57142857142857,1,1,3,NA,3,1,0,"Business Association",4,NA,NA
"3",3,"EU0003",1.66666666666667,1.57142857142857,0.666666666666667,0.571428571428571,NA,NA,4,3,3,3,NA,"Trade Association",15,50,50
"4",4,"EU0004",3.16666666666667,3,2.16666666666667,2,0,0,4,4,3,3,1,"Business Association",120,50,50
"5",5,"EU0005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business Association",NA,NA,NA
"6",6,"EU0006",3.33333333333333,NA,2.33333333333333,NA,NA,1,NA,NA,1,3,0,"Business Association",27,NA,NA
"7",7,"EU0007",2.5,2.14285714285714,1.5,1.14285714285714,1,0,3,3,3,3,0,"Business Association",3,50,50
"8",8,"EU0008",NA,NA,NA,NA,0.8,0,NA,NA,NA,NA,NA,"Business Association",NA,NA,NA
"9",9,"EU0009",2.16666666666667,3,1.16666666666667,2,1,0,1,3,3,1,0,"Citizen Group",13508,70,30
"10",10,"EU0010",2.33333333333333,2.57142857142857,1.33333333333333,1.57142857142857,0.8,0,3,2,3,3,0,"Business Association",9,50,50
"11",11,"EU0011",3.5,3.14285714285714,2.5,2.14285714285714,1,0,NA,4,3,3,0,"Citizen Group",40,50,50
"12",12,"EU0012",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,"Citizen Group",5,NA,NA
"13",13,"EU0013",2.83333333333333,3.71428571428571,1.83333333333333,2.71428571428571,NA,1,4,4,3,3,1,"Business Association",28,50,50
"14",14,"EU0014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rest",NA,NA,NA
"15",15,"EU0015",4.33333333333333,4,3.33333333333333,3,1,NA,4,3,3,3,1,"Business Association",22,60,40
